Id,Weekly_Sales
1_1_2012-11-02,26823.314980837902
1_1_2012-11-09,23427.45260720697
1_1_2012-11-16,24856.73070536173
1_1_2012-11-23,24452.102331359903
1_1_2012-11-30,24438.298005906603
1_1_2012-12-07,29435.22286163879
1_1_2012-12-14,34464.65798907466
1_1_2012-12-21,36586.941960810764
1_1_2012-12-28,29988.67177897624
1_1_2013-01-04,24722.867818412433
1_1_2013-01-11,22709.267334404507
1_1_2013-01-18,22859.323941385843
1_1_2013-01-25,22132.166002655697
1_1_2013-02-01,30596.638629747125
1_1_2013-02-08,32283.25023781262
1_1_2013-02-15,33111.01005069951
1_1_2013-02-22,29064.606879866187
1_1_2013-03-01,24520.048508978947
1_1_2013-03-08,23881.470724603943
1_1_2013-03-15,23530.38337020528
1_1_2013-03-22,24294.160549930293
1_1_2013-03-29,24494.388827579107
1_1_2013-04-05,31060.566161633422
1_1_2013-04-12,27042.47229068898
1_1_2013-04-19,25054.722397928
1_1_2013-04-26,24213.835865904173
1_1_2013-05-03,21435.553432276924
1_1_2013-05-10,20946.856687595973
1_1_2013-05-17,22021.469897756237
1_1_2013-05-24,18288.21350769672
1_1_2013-05-31,18136.42844716176
1_1_2013-06-07,18208.04935247218
1_1_2013-06-14,18401.085358279353
1_1_2013-06-21,18123.16468530586
1_1_2013-06-28,18037.413629896502
1_1_2013-07-05,18274.701592385907
1_1_2013-07-12,17893.689233024732
1_1_2013-07-19,17985.4370020715
1_1_2013-07-26,17756.82825313321
1_2_2012-11-02,45178.62334290676
1_2_2012-11-09,45234.00175117513
1_2_2012-11-16,45097.99846377796
1_2_2012-11-23,47487.327557013894
1_2_2012-11-30,44713.23845877494
1_2_2012-12-07,47250.1769741189
1_2_2012-12-14,47418.044703228436
1_2_2012-12-21,51988.76449171862
1_2_2012-12-28,49841.04800862823
1_2_2013-01-04,45685.55468391866
1_2_2013-01-11,45266.56903653768
1_2_2013-01-18,44536.34606377221
1_2_2013-01-25,43774.54907120462
1_2_2013-02-01,47553.195903482374
1_2_2013-02-08,48715.429671250255
1_2_2013-02-15,49200.72430157759
1_2_2013-02-22,48289.66490446451
1_2_2013-03-01,46664.54824014217
1_2_2013-03-08,46158.616047642194
1_2_2013-03-15,45500.88445529552
1_2_2013-03-22,46976.097656697326
1_2_2013-03-29,45940.44557960587
1_2_2013-04-05,46952.858063796906
1_2_2013-04-12,45084.924976248716
1_2_2013-04-19,45704.99782283362
